"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Labor","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year","Date","Cost of Goods Sold","Fixed Overhead Costs","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year","Date","Lease","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines","Spec.equip","Ownership"
"1169",180000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,35840,14204,17760,600,67804,10,2035,67804,148061.91,215865.91,2584643.88,105513,120.32,4.74,42.51,0.09,10.67,2.05,3.5,21.83,37.34,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,34543.5355,148061.90836837,106,410146.902333333,5,"Drill (Automated)","Sole Ownership"
"1170",190000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,38560,15142,18880,600,72582,10,2035,72582,149496.86,222078.86,2651129.3,111375,120.32,4.74,42.51,0.09,10.67,1.99,3.4,21.28,36.29,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,35714.81525,149496.862692044,113,420186.656166667,6,"Drill (Automated)","Sole Ownership"
"1171",200000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,40320,16482,20480,600,77282,10,2035,77282,150195.24,227477.24,2700490.25,117236,120.32,4.74,42.51,0.09,10.67,1.94,3.29,20.71,35.11,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,36413.195,150195.242442044,123,423177.676666667,6,"Drill (Automated)","Sole Ownership"
"1172",210000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,43200,17688,21920,600,82808,10,2035,82808,150899.86,233707.86,2759581.92,123098,120.32,4.74,42.51,0.09,10.67,1.9,3.2,20.26,34.17,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,37117.8080833333,150899.855525377,132,426217.4305,6,"Drill (Automated)","Sole Ownership"
"1173",220000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,44320,17956,22240,600,84516,10,2035,84516,151601.67,236117.67,2783210.79,128960,120.32,4.74,42.51,0.09,10.67,1.83,3.08,19.54,32.9,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,37819.6211666667,151601.668608711,134,429229.184333333,6,"Drill (Automated)","Sole Ownership"
"1174",230000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,46400,18760,23200,600,88360,10,2035,88360,153033.19,241393.19,2841240.29,134822,120.32,4.74,42.51,0.09,10.67,1.79,3.01,19.11,32.13,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,38987.4675833333,153033.189599051,140,439248.204833333,7,"Drill (Automated)","Sole Ownership"
"1175",240000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,48000,19162,23680,600,90842,10,2035,90842,153735,244577,2870287.16,140684,120.32,4.74,42.51,0.09,10.67,1.74,2.91,18.55,31.1,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,39689.2806666667,153735.002682385,143,442259.958666667,7,"Drill (Automated)","Sole Ownership"
"1176",250000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,48960,19698,24320,600,92978,10,2035,92978,154439.62,247417.62,2897454.83,146545,120.32,4.74,42.51,0.09,10.67,1.69,2.82,18.02,30.14,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,40393.89375,154439.615765718,147,445299.7125,7,"Drill (Automated)","Sole Ownership"
"1177",260000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,51680,20770,25600,600,98050,10,2035,98050,155868.34,253918.34,2966477.53,152407,120.32,4.74,42.51,0.09,10.67,1.67,2.78,17.78,29.67,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,41558.9401666667,155868.336756059,155,455290.733,8,"Drill (Automated)","Sole Ownership"
"1178",270000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,53280,21172,26080,600,100532,10,2035,100532,156572.95,257104.95,2995583.2,158269,120.32,4.74,42.51,0.09,10.67,1.62,2.7,17.33,28.85,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,42263.55325,156572.949839392,158,458330.486833333,8,"Drill (Automated)","Sole Ownership"
"1179",280000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,55360,21976,27040,600,104376,10,2035,104376,157274.76,261650.76,3038570.07,164131,120.32,4.74,42.51,0.09,10.67,1.59,2.64,17.01,28.22,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,42965.3663333333,157274.762922725,164,461342.240666667,8,"Drill (Automated)","Sole Ownership"
"1180",290000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,57760,23450,28800,600,110010,10,2035,110010,157975.94,267985.94,3096395.82,169993,120.32,4.74,42.51,0.09,10.67,1.58,2.6,16.82,27.77,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,43666.5460833333,157975.942672725,175,464361.261166667,8,"Drill (Automated)","Sole Ownership"
"1181",300000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,60480,24388,29920,600,114788,10,2035,114788,159408.1,274196.1,3162822.44,175854,120.32,4.74,42.51,0.09,10.67,1.56,2.57,16.64,27.42,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,44835.0258333333,159408.096996399,182,474373.015,9,"Drill (Automated)","Sole Ownership"
"1182",310000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,61600,24924,30560,600,117084,10,2035,117084,160112.71,277196.71,3191162.11,181716,120.32,4.74,42.51,0.09,10.67,1.53,2.51,16.28,26.77,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,45539.6389166667,160112.710079733,186,477412.768833333,9,"Drill (Automated)","Sole Ownership"
"1183",320000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,63200,25326,31040,600,119566,10,2035,119566,160811.09,280377.09,3220159.06,187578,120.32,4.74,42.51,0.09,10.67,1.49,2.45,15.95,26.17,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,46238.0186666667,160811.089829733,189,480403.789333333,9,"Drill (Automated)","Sole Ownership"
"1184",330000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,65920,26264,32160,600,124344,10,2035,124344,161515.7,285859.7,3271610.73,193440,120.32,4.74,42.51,0.09,10.67,1.48,2.42,15.77,25.78,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,46942.63175,161515.702913066,196,483443.543166667,9,"Drill (Automated)","Sole Ownership"
"1185",340000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,66880,26800,32800,600,126480,10,2035,126480,162947.86,289427.86,3313753.35,199302,120.32,4.74,42.51,0.09,10.67,1.45,2.38,15.5,25.35,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,48111.1115,162947.85723674,200,493455.297,10,"Drill (Automated)","Sole Ownership"
"1186",350000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,69600,27738,33920,600,131258,10,2035,131258,163652.47,294910.47,3365205.02,205164,120.32,4.74,42.51,0.09,10.67,1.44,2.34,15.34,25,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,48815.7245833333,163652.470320073,207,496495.050833333,10,"Drill (Automated)","Sole Ownership"
"1187",360000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,70560,28140,34400,600,133100,10,2035,133100,164350.85,297450.85,3388441.97,211025,120.32,4.74,42.51,0.09,10.67,1.41,2.29,15.04,24.48,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,49514.1043333333,164350.850070073,210,499486.071333333,10,"Drill (Automated)","Sole Ownership"
"1188",370000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,73280,29078,35520,600,137878,10,2035,137878,165785.8,303663.8,3454927.4,216887,120.32,4.74,42.51,0.09,10.67,1.4,2.28,14.94,24.28,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,50685.3840833333,165785.804393747,217,509525.825166667,11,"Drill (Automated)","Sole Ownership"
"1189",380000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,74880,29480,36000,600,140360,10,2035,140360,166487.62,306847.62,3483974.26,222749,120.32,4.74,42.51,0.09,10.67,1.38,2.23,14.7,23.84,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,51387.1971666667,166487.617477081,220,512537.579,11,"Drill (Automated)","Sole Ownership"
"1190",390000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,77760,31356,38240,600,147356,10,2035,147356,167188.8,314544.8,3555740.02,228611,120.32,4.74,42.51,0.09,10.67,1.38,2.22,14.68,23.71,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,52088.3769166667,167188.797227081,234,515556.5995,11,"Drill (Automated)","Sole Ownership"
"1191",400000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,79360,31758,38720,600,149838,10,2035,149838,167890.61,317728.61,3584786.88,234473,120.32,4.74,42.51,0.09,10.67,1.36,2.18,14.46,23.31,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,52790.19,167890.610310414,237,518568.353333333,11,"Drill (Automated)","Sole Ownership"
"1192",410000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,81120,32428,39520,600,153068,10,2035,153068,169325.56,322393.56,3636566.31,240334,120.32,4.74,42.51,0.09,10.67,1.34,2.16,14.31,23.07,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,53961.46975,169325.564634088,242,528608.107166667,12,"Drill (Automated)","Sole Ownership"
"1193",420000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,83200,33232,40480,600,156912,10,2035,156912,170023.94,326935.94,3679503.26,246196,120.32,4.74,42.51,0.09,10.67,1.33,2.14,14.17,22.78,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,54659.8495,170023.944384088,248,531599.127666667,12,"Drill (Automated)","Sole Ownership"
"1194",430000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,84800,33634,40960,600,159394,10,2035,159394,170728.56,330122.56,3708608.92,252058,120.32,4.74,42.51,0.09,10.67,1.31,2.1,13.98,22.43,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,55364.4625833333,170728.557467421,251,534638.8815,12,"Drill (Automated)","Sole Ownership"
"1195",440000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,87040,34706,42240,600,163986,10,2035,163986,171430.37,335416.37,3761051.79,257920,120.32,4.74,42.51,0.09,10.67,1.3,2.08,13.88,22.23,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,56066.2756666667,171430.370550755,259,537650.635333333,12,"Drill (Automated)","Sole Ownership"
"1196",450000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,88000,34974,42560,600,165534,10,2035,165534,172861.89,338395.89,3796735.3,263782,120.32,4.74,42.51,0.09,10.67,1.28,2.06,13.69,21.94,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,57234.1220833333,172861.891541095,261,547669.655833333,13,"Drill (Automated)","Sole Ownership"
"1197",460000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,90720,35912,43680,600,170312,10,2035,170312,173563.7,343875.7,3848128.17,269644,120.32,4.74,42.51,0.09,10.67,1.28,2.04,13.61,21.76,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,57935.9351666667,173563.704624429,268,550681.409666667,13,"Drill (Automated)","Sole Ownership"
"1198",470000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,91680,36314,44160,600,172154,10,2035,172154,174268.32,346422.32,3871473.83,275505,120.32,4.74,42.51,0.09,10.67,1.26,2.01,13.42,21.42,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,58640.54825,174268.317707762,271,553721.1635,13,"Drill (Automated)","Sole Ownership"
"1199",480000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,94080,37386,45440,600,176906,10,2035,176906,175697.04,352603.04,3934572.54,281367,120.32,4.74,42.51,0.09,10.67,1.25,2,13.37,21.32,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,59805.5946666667,175697.038698103,279,563712.184,14,"Drill (Automated)","Sole Ownership"
"11100",490000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,96800,38726,47040,600,182566,10,2035,182566,176401.65,358967.65,3995726.21,287229,120.32,4.74,42.51,0.09,10.67,1.25,1.99,13.34,21.21,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,60510.20775,176401.651781436,289,566751.937833333,14,"Drill (Automated)","Sole Ownership"
"11101",500000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,97760,38994,47360,600,184114,10,2035,184114,177103.46,361217.46,4016367.08,293091,120.32,4.74,42.51,0.09,10.67,1.23,1.96,13.15,20.89,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,61212.0208333333,177103.464864769,291,569763.691666667,14,"Drill (Automated)","Sole Ownership"
"11102",510000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,100640,40066,48640,600,189346,10,2035,189346,177808.08,367154.08,4072812.74,298953,120.32,4.74,42.51,0.09,10.67,1.23,1.95,13.11,20.77,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,61916.6339166667,177808.077948103,299,572803.4455,14,"Drill (Automated)","Sole Ownership"
"11103",520000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,102240,40602,49280,600,192122,10,2035,192122,179236.8,371358.8,4119489.45,304814,120.32,4.74,42.51,0.09,10.67,1.22,1.93,13,20.6,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,63081.6803333333,179236.798938443,303,582794.466,15,"Drill (Automated)","Sole Ownership"
"11104",530000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,104320,41674,50560,600,196554,10,2035,196554,179941.41,376495.41,4169003.12,310676,120.32,4.74,42.51,0.09,10.67,1.21,1.92,12.93,20.46,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,63786.2934166667,179941.412021777,311,585834.219833333,15,"Drill (Automated)","Sole Ownership"
"11105",540000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,105920,42076,51040,600,199036,10,2035,199036,180643.23,379679.23,4198049.99,316538,120.32,4.74,42.51,0.09,10.67,1.2,1.89,12.8,20.22,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,64488.1065,180643.22510511,314,588845.973666667,15,"Drill (Automated)","Sole Ownership"
"11106",550000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,108640,43014,52160,600,203814,10,2035,203814,181344.4,385158.4,4249451.74,322400,120.32,4.74,42.51,0.09,10.67,1.19,1.88,12.75,20.09,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,65189.28625,181344.40485511,321,591864.994166667,15,"Drill (Automated)","Sole Ownership"
"11107",560000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,109600,43282,52480,600,205362,10,2035,205362,182776.56,388138.56,4285126.36,328262,120.32,4.74,42.51,0.09,10.67,1.18,1.86,12.62,19.9,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,66357.766,182776.559178784,323,601876.748,16,"Drill (Automated)","Sole Ownership"
"11108",570000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,111200,43818,53120,600,208138,10,2035,208138,183481.17,391619.17,4316878.03,334124,120.32,4.74,42.51,0.09,10.67,1.17,1.85,12.51,19.7,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,67062.3790833333,183481.172262117,327,604916.501833333,16,"Drill (Automated)","Sole Ownership"
"11109",580000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,114720,45828,55520,600,216068,10,2035,216068,184179.55,400247.55,4396990.98,339985,120.32,4.74,42.51,0.09,10.67,1.18,1.85,12.56,19.72,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,67760.7588333333,184179.552012117,342,607907.522333333,16,"Drill (Automated)","Sole Ownership"
"11110",590000,"Y4","Fall","Ear Hanging",44.8246775245788,10,Aug 2035,0,115680,46096,55840,600,217616,10,2035,217616,185614.51,403230.51,4432724.4,345847,120.32,4.74,42.51,0.09,10.67,1.17,1.83,12.44,19.54,10,Aug 2035,4482.46775245788,6000,1200,60000,45000,68932.0385833333,185614.506335791,344,617947.276166667,17,"Drill (Automated)","Sole Ownership"
"11111",600000,"Y4","Fall","Ear Hanging",44.8246775245788,10,Aug 2035,0,118400,47034,56960,600,222394,10,2035,222394,186316.32,408710.32,4484117.27,351709,120.32,4.74,42.51,0.09,10.67,1.16,1.82,12.4,19.44,10,Aug 2035,4482.46775245788,6000,1200,60000,45000,69633.8516666667,186316.319419125,351,620959.03,17,"Drill (Automated)","Sole Ownership"
"11112",50000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,9920,5226,7040,600,22186,10,2035,22186,138494.25,160680.25,2081466.2,29309,120.32,4.74,42.51,0.09,10.67,5.48,10.15,58.5,108.26,10,Aug 2035,527.349147347986,6000,1200,60000,45000,25766.89875,138494.247897348,39,384909.035833333,2,"Automated Drill and Pin","Sole Ownership"
"11113",60000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,11040,5762,7680,600,24482,10,2035,24482,139198.86,163680.86,2108897.87,35171,120.32,4.74,42.51,0.09,10.67,4.65,8.57,49.66,91.41,10,Aug 2035,527.349147347986,6000,1200,60000,45000,26471.5118333333,139198.860980681,43,387948.789666667,2,"Automated Drill and Pin","Sole Ownership"
"11114",70000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,13280,6700,8800,600,28780,10,2035,28780,139897.24,168677.24,2155920.82,41033,120.32,4.74,42.51,0.09,10.67,4.11,7.51,43.87,80.1,10,Aug 2035,527.349147347986,6000,1200,60000,45000,27169.8915833333,139897.240730681,50,390939.810166667,2,"Automated Drill and Pin","Sole Ownership"
"11115",80000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,14400,7102,9280,600,30782,10,2035,30782,141329.4,172111.4,2195681.44,46895,120.32,4.74,42.51,0.09,10.67,3.67,6.69,39.16,71.38,10,Aug 2035,791.023721021979,6000,1200,60000,45000,28338.3713333333,141329.395054355,53,400951.564,3,"Automated Drill and Pin","Sole Ownership"
"11116",90000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,15520,7504,9760,600,32784,10,2035,32784,142034.01,174818.01,2220467.11,52756,120.32,4.74,42.51,0.09,10.67,3.31,6.01,35.36,64.16,10,Aug 2035,791.023721021979,6000,1200,60000,45000,29042.9844166667,142034.008137689,56,403991.317833333,3,"Automated Drill and Pin","Sole Ownership"
"11117",100000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,18560,9514,12160,600,40234,10,2035,40234,142732.39,182966.39,2296260.06,58618,120.32,4.74,42.51,0.09,10.67,3.12,5.6,33.31,59.72,10,Aug 2035,791.023721021979,6000,1200,60000,45000,29741.3641666667,142732.387887689,71,406982.338333333,3,"Automated Drill and Pin","Sole Ownership"
"11118",110000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,19840,10184,12960,600,42984,10,2035,42984,143437,186421,2328685.73,64480,120.32,4.74,42.51,0.09,10.67,2.89,5.16,30.85,55.05,10,Aug 2035,791.023721021979,6000,1200,60000,45000,30445.97725,143437.000971022,76,410022.092166667,3,"Automated Drill and Pin","Sole Ownership"
"11119",120000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,22080,11122,14080,600,47282,10,2035,47282,144869.16,192151.16,2390792.35,70342,120.32,4.74,42.51,0.09,10.67,2.73,4.86,29.15,51.81,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,31614.457,144869.155294696,83,420033.846,4,"Automated Drill and Pin","Sole Ownership"
"11120",130000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,23200,11524,14560,600,49284,10,2035,49284,145570.34,194854.34,2415528.1,76204,120.32,4.74,42.51,0.09,10.67,2.56,4.53,27.29,48.32,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,32315.63675,145570.335044696,86,423052.8665,4,"Automated Drill and Pin","Sole Ownership"
"11121",140000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,25440,12462,15680,600,53582,10,2035,53582,146272.15,199854.15,2462600.97,82065,120.32,4.74,42.51,0.09,10.67,2.44,4.29,25.99,45.74,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,33017.4498333333,146272.148128029,93,426064.620333333,4,"Automated Drill and Pin","Sole Ownership"
"11122",150000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,26560,13132,16480,600,56172,10,2035,56172,147707.1,203879.1,2508888.39,87927,120.32,4.74,42.51,0.09,10.67,2.32,4.08,24.74,43.5,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,34188.7295833333,147707.102451703,98,436104.374166667,5,"Automated Drill and Pin","Sole Ownership"
"11123",160000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,27680,13668,17120,600,58468,10,2035,58468,148405.48,206873.48,2536211.34,93789,120.32,4.74,42.51,0.09,10.67,2.21,3.86,23.54,41.22,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,34887.1093333333,148405.482201703,102,439095.394666667,5,"Automated Drill and Pin","Sole Ownership"
"11124",170000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,29920,14606,18240,600,62766,10,2035,62766,149110.1,211876.1,2583343.01,99651,120.32,4.74,42.51,0.09,10.67,2.13,3.7,22.69,39.52,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,35591.7224166667,149110.095285037,109,442135.1485,5,"Automated Drill and Pin","Sole Ownership"
"11125",180000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,31040,15008,18720,600,64768,10,2035,64768,149811.91,214579.91,2608069.88,105513,120.32,4.74,42.51,0.09,10.67,2.03,3.53,21.7,37.68,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,36293.5355,149811.90836837,112,445146.902333333,5,"Automated Drill and Pin","Sole Ownership"
"11126",190000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,33280,15946,19840,600,69066,10,2035,69066,151246.86,220312.86,2670235.3,111375,120.32,4.74,42.51,0.09,10.67,1.98,3.43,21.11,36.55,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,37464.81525,151246.862692044,119,455186.656166667,6,"Automated Drill and Pin","Sole Ownership"
"11127",200000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,35200,17420,21600,600,74220,10,2035,74220,151945.24,226165.24,2723682.25,117236,120.32,4.74,42.51,0.09,10.67,1.93,3.32,20.59,35.42,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,38163.195,151945.242442044,130,458177.676666667,6,"Automated Drill and Pin","Sole Ownership"
"11128",210000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,37600,18626,23040,600,79266,10,2035,79266,152649.86,231915.86,2778453.92,123098,120.32,4.74,42.51,0.09,10.67,1.88,3.22,20.1,34.41,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,38867.8080833333,152649.855525377,139,461217.4305,6,"Automated Drill and Pin","Sole Ownership"
"11129",220000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,38240,18894,23360,600,80494,10,2035,80494,153351.67,233845.67,2797762.79,128960,120.32,4.74,42.51,0.09,10.67,1.81,3.1,19.35,33.07,10,Aug 2035,1582.04744204396,6000,1200,60000,45000,39569.6211666667,153351.668608711,141,464229.184333333,6,"Automated Drill and Pin","Sole Ownership"
"11130",230000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,40480,19832,24480,600,84792,10,2035,84792,154783.19,239575.19,2859878.29,134822,120.32,4.74,42.51,0.09,10.67,1.78,3.03,18.96,32.34,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,40737.4675833333,154783.189599051,148,474248.204833333,7,"Automated Drill and Pin","Sole Ownership"
"11131",240000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,41440,20100,24800,600,86340,10,2035,86340,155485,241825,2880519.16,140684,120.32,4.74,42.51,0.09,10.67,1.72,2.93,18.34,31.21,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,41439.2806666667,155485.002682385,150,477259.958666667,7,"Automated Drill and Pin","Sole Ownership"
"11132",250000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,42560,20770,25600,600,88930,10,2035,88930,156189.62,245119.62,2911772.83,146545,120.32,4.74,42.51,0.09,10.67,1.67,2.84,17.85,30.29,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,42143.89375,156189.615765718,155,480299.7125,7,"Automated Drill and Pin","Sole Ownership"
"11133",260000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,44800,21842,26880,600,93522,10,2035,93522,157618.34,251140.34,2976475.53,152407,120.32,4.74,42.51,0.09,10.67,1.65,2.79,17.58,29.77,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,43308.9401666667,157618.336756059,163,490290.733,8,"Automated Drill and Pin","Sole Ownership"
"11134",270000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,45920,22244,27360,600,95524,10,2035,95524,158322.95,253846.95,3001261.2,158269,120.32,4.74,42.51,0.09,10.67,1.6,2.71,17.12,28.91,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,44013.55325,158322.949839392,166,493330.486833333,8,"Automated Drill and Pin","Sole Ownership"
"11135",280000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,48160,23182,28480,600,99822,10,2035,99822,159024.76,258846.76,3048334.07,164131,120.32,4.74,42.51,0.09,10.67,1.58,2.65,16.83,28.31,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,44715.3663333333,159024.762922725,173,496342.240666667,8,"Automated Drill and Pin","Sole Ownership"
"11136",290000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,50080,24656,30240,600,104976,10,2035,104976,159725.94,264701.94,3101839.82,169993,120.32,4.74,42.51,0.09,10.67,1.56,2.61,16.62,27.82,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,45416.5460833333,159725.942672725,184,499361.261166667,8,"Automated Drill and Pin","Sole Ownership"
"11137",300000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,52320,25594,31360,600,109274,10,2035,109274,161158.1,270432.1,3163946.44,175854,120.32,4.74,42.51,0.09,10.67,1.54,2.57,16.41,27.43,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,46585.0258333333,161158.096996399,191,509373.015,9,"Automated Drill and Pin","Sole Ownership"
"11138",310000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,53600,26264,32160,600,112024,10,2035,112024,161862.71,273886.71,3196372.11,181716,120.32,4.74,42.51,0.09,10.67,1.51,2.51,16.08,26.81,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,47289.6389166667,161862.710079733,196,512412.768833333,9,"Automated Drill and Pin","Sole Ownership"
