"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines"
"11114",270000,"Y3","Fall","Lantern Net",34.2776945776191,10,Aug 2035,0,27470,33400,600,124870,10,304758.48,3567813.62,180879,97.39,3.83,21.04,0.05,21.56,1.68,2.47,36.33,53.16,10,6000,1200,60000,45000,64260.71340625,179888.482864012,205,565141.50975,13
"11115",280000,"Y3","Fall","Lantern Net",34.2776945776191,10,Aug 2035,0,28676,34840,600,130396,10,311809.41,3639092.56,187578,97.39,3.83,21.04,0.05,21.56,1.66,2.43,35.84,52.29,10,6000,1200,60000,45000,65785.636125,181413.405582762,214,572705.899,13
"11116",290000,"Y3","Fall","Lantern Net",36.914440314359,10,Aug 2035,0,29748,36120,600,134508,10,318176.67,3712761.25,194277,97.39,3.83,21.04,0.05,21.56,1.64,2.39,35.31,51.51,10,6000,1200,60000,45000,67777.2255104167,183668.669541853,222,587270.28825,14
"11117",300000,"Y3","Fall","Lantern Net",36.914440314359,10,Aug 2035,0,30954,37560,600,140034,10,325227.59,3784040.19,200977,97.39,3.83,21.04,0.05,21.56,1.62,2.35,34.89,50.75,10,6000,1200,60000,45000,69302.1482291667,185193.592260603,231,594834.6775,14
"11138",50000,"Y4","Fall","Lantern Net",7.91023721021979,10,Aug 2035,0,7772,9880,600,34772,10,173817.17,2135419.82,29309,119.14,4.69,41,0.09,11.06,5.93,10.41,65.61,115.15,10,6000,1200,60000,45000,26054.1469270833,139045.170648105,58,328808.94625,3
"11139",60000,"Y4","Fall","Lantern Net",7.91023721021979,10,Aug 2035,0,8844,11160,600,39844,10,180414.09,2197540.76,35171,119.14,4.69,41,0.09,11.06,5.13,8.93,56.75,98.75,10,6000,1200,60000,45000,27579.0696458333,140570.093366855,66,336373.3355,3
"11140",70000,"Y4","Fall","Lantern Net",10.5469829469597,10,Aug 2035,0,10184,12760,600,45984,10,188809.36,2287217.45,41033,119.14,4.69,41,0.09,11.06,4.6,7.96,50.91,88.1,10,6000,1200,60000,45000,29570.65903125,142825.357325946,76,350937.72475,4
"11141",80000,"Y4","Fall","Lantern Net",10.5469829469597,10,Aug 2035,0,11256,14040,600,51056,10,195403.48,2349279.59,46895,119.14,4.69,41,0.09,11.06,4.17,7.16,46.1,79.18,10,6000,1200,60000,45000,31092.78175,144347.480044696,84,358474.114,4
"11142",90000,"Y4","Fall","Lantern Net",13.1837286836996,10,Aug 2035,0,12328,15320,600,56128,10,202730.74,2426434.29,52756,119.14,4.69,41,0.09,11.06,3.84,6.57,42.51,72.69,10,6000,1200,60000,45000,33084.3711354167,146602.744003787,92,373038.50325,5
"11143",100000,"Y4","Fall","Lantern Net",13.1837286836996,10,Aug 2035,0,14338,17720,600,64378,10,212505.67,2520603.22,58618,119.14,4.69,41,0.09,11.06,3.63,6.14,40.11,67.96,10,6000,1200,60000,45000,34609.2938541667,148127.666722537,107,380602.8925,5
"11144",110000,"Y4","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,15544,19160,600,69904,10,220286.93,2602751.92,64480,119.14,4.69,41,0.09,11.06,3.42,5.77,37.8,63.8,10,6000,1200,60000,45000,36600.8832395833,150382.930681627,116,395167.28175,6
"11145",120000,"Y4","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,17152,21080,600,77272,10,229179.85,2687218.86,70342,119.14,4.69,41,0.09,11.06,3.26,5.46,36.05,60.38,10,6000,1200,60000,45000,38125.8059583333,151907.853400377,128,402731.671,6
"11146",130000,"Y4","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,17956,22040,600,81116,10,234548.78,2739515.8,76204,119.14,4.69,41,0.09,11.06,3.08,5.14,34.05,56.82,10,6000,1200,60000,45000,39650.7286770833,153432.776119127,134,410296.06025,6
"11147",140000,"Y4","Fall","Lantern Net",18.4572201571795,10,Aug 2035,0,19564,23960,600,88484,10,244172.04,2839016.49,82065,119.14,4.69,41,0.09,11.06,2.98,4.94,32.92,54.68,10,6000,1200,60000,45000,41642.3180625,155688.040078218,146,424860.4495,7
"11148",150000,"Y4","Fall","Lantern Net",18.4572201571795,10,Aug 2035,0,20904,25560,600,94144,10,251356.96,2907605.43,87927,119.14,4.69,41,0.09,11.06,2.86,4.72,31.63,52.26,10,6000,1200,60000,45000,43167.24078125,157212.962796968,156,432424.83875,7
"11149",160000,"Y4","Fall","Lantern Net",21.0939658939194,10,Aug 2035,0,21976,26840,600,99216,10,258681.43,2984701.32,93789,119.14,4.69,41,0.09,11.06,2.76,4.55,30.51,50.3,10,6000,1200,60000,45000,45156.0301666667,159465.426756059,164,446961.228,8
"11150",170000,"Y4","Fall","Lantern Net",21.0939658939194,10,Aug 2035,0,23584,28760,600,106584,10,267574.35,3069168.26,99651,119.14,4.69,41,0.09,11.06,2.69,4.4,29.71,48.68,10,6000,1200,60000,45000,46680.9528854167,160990.349474809,176,454525.61725,8
"11151",180000,"Y4","Fall","Lantern Net",23.7307116306594,10,Aug 2035,0,24656,30040,600,111656,10,274901.61,3146322.95,105513,119.14,4.69,41,0.09,11.06,2.61,4.26,28.82,47.13,10,6000,1200,60000,45000,48672.5422708333,163245.613433899,184,469090.0065,9
"11152",190000,"Y4","Fall","Lantern Net",23.7307116306594,10,Aug 2035,0,25996,31640,600,117796,10,282566.54,3220965.89,111375,119.14,4.69,41,0.09,11.06,2.54,4.13,28.07,45.71,10,6000,1200,60000,45000,50197.4649895833,164770.536152649,194,476654.39575,9
"11153",200000,"Y4","Fall","Lantern Net",26.3674573673993,10,Aug 2035,0,27470,33400,600,123750,10,290775.8,3307822.58,117236,119.14,4.69,41,0.09,11.06,2.48,4.03,27.44,44.59,10,6000,1200,60000,45000,52189.054375,167025.80011174,205,491218.785,10
"11154",210000,"Y4","Fall","Lantern Net",26.3674573673993,10,Aug 2035,0,29212,35480,600,131572,10,300122.72,3397283.52,123098,119.14,4.69,41,0.09,11.06,2.44,3.94,26.97,43.62,10,6000,1200,60000,45000,53713.97709375,168550.72283049,218,498783.17425,10
"11155",220000,"Y4","Fall","Lantern Net",29.0042031041392,10,Aug 2035,0,30150,36600,600,135870,10,306675.99,3469020.21,128960,119.14,4.69,41,0.09,11.06,2.38,3.84,26.31,42.52,10,6000,1200,60000,45000,55705.5664791667,170805.986789581,225,513347.5635,11
